name,fans,fave,tags,vote
1086673-Glamour+Drama-silver-lindex-bag-red-tamara-jari%C4%87-dress-black-lindex-ring,32183,65 favorites,"['Elegant', 'Cocktail', 'winter']",364 votes
1101841-Catwalk+Dress-black-lovers-friends-dress-black-kate-spade-bag,253,76 favorites,"['Sexy', 'Cocktail', 'spring']",340 votes
965072-Summer+lover-light-blue-asos-dress-blue-topshop-bag-brown-isabel-marant-sandals,81,62 favorites,"['Romantic', 'Everyday', 'summer']",338 votes
1058267-PURE+HEROINE-broke-bitch-dress-broke-bitch-hat-broke-bitch-jacket,39,62 favorites,"['Chic', 'Dinner Party', 'fall']",270 votes
1141524-A+Moment+in+Time-wittnauer-watch-wittnauer-watch-blue-forever-unique-dress,1340,27 favorites,"['Elegant', 'Everyday', 'Summer']",175 votes
1130508-Mirabilia+Romae-rebecca-minkoff-dress-mulberry-bag-hobbs-sandals,964,73 favorites,"['Chic', 'Traveling', 'summer']",334 votes
962669-Forest+Green-green-chicwish-coat-black-chicwish-boots-black-chicwish-dress,456,79 favorites,"['90s', 'Everyday', 'winter']",396 votes
961200-WIN+THIS+DRESS+on+my+blog-maroon-fedora-missguided-hat-black-sahar-dress,336,81 favorites,"['Retro', 'Brunch', 'winter']",372 votes
1144684-Holiday+Dress+Idea+My+Classic+Pointed+Shoes-brick-red-dynamite-scarf-black-etsy-dress,16077,68 favorites,"['Romantic', 'Wine Tasting', 'Summer']",369 votes
1063198-My+baby+lives+in+shades+of+blue-chi-chi-dress,736,62 favorites,"['SHAPEMATTERS', 'Dinner Party', 'fall']",364 votes
1036222-Walking+Around-massimo-dutti-dress,411,61 favorites,"['Chic', 'Everyday', 'summer']",338 votes
1148298-Rock+and+Roll-choies-boots-badstyle-dress-onecklace-necklace,401,63 favorites,"['Eclectic', 'Dinner Date', 'winter']",359 votes
1153418-Portugal+Black+total+look-shein-dress,300,61 favorites,"['Basic', 'Everyday', 'Summer']",337 votes
960272-Kiss+me+hard+before+you+go-1dresscouk-dress-pretty-purple-boutique-hair-accessory,31856,125 favorites,"['Romantic', 'Cocktail', 'summer']",501 votes
1146744-Dazzling+Diamonds-kirk-kara-ring-silver-charlotte-russe-shoes-crimson-tamar-collection-dress,1340,42 favorites,"['Vintage', 'Formal', 'Summer']",282 votes
993795-ADIDAS+ORIGINALS-black-as-know-as-boots-black-asos-dress-red-adidas-jacket,145,29 favorites,"['Punk', 'Everyday', 'winter', 'blacknred']",134 votes
1168384-Heather+Grey-brown-brown-steve-madden-boots-silver-midi-cotton-on-dress,1736,93 favorites,"['Business Casual', 'Work', 'summer']",354 votes
949973-Blue+Chiffon+Split+Shirt+Dress+with+3+4+Length+Sleeves-chicnova-dress,1715,13 favorites,"['Chic', 'Formal', 'summer']",148 votes
998415-Pink+Sweetness-black-pull-bear-dress-black-zara-heels,142,75 favorites,"['Chic', 'Brunch', 'spring', 'pink sweetness']",299 votes
1138460-My+Kitsch+Lookbook-black-aqua-dress-black-forever-21-hat-silver-kitsch-earrings,16077,49 favorites,"['Classic', 'Photo Shoot', 'Summer']",357 votes
1029722-Hey+who+cares+what+you+say-pink-dress,42,70 favorites,"['Dancing In Florals Contest', 'Other', 'Summer']",324 votes
1035474-You+Know+You+Got+It+If+It+Makes+You+Feel+Good-floral-dress-dress-black-h-m-hat-kimono-stylemoi-cardigan,804,59 favorites,"['Casual', 'Everyday', 'spring']",344 votes
973950-Back+to+School-asos-bag-zara-dress-forever-new-coat-zara-hat,30,47 favorites,"['Romantic', 'Everyday', 'fall']",263 votes
1120322-Shake+It+Out-brown-watch-daniel-wellington-watch-black-striped-billabong-dress,316,73 favorites,"['Urban', 'Everyday', 'summer']",342 votes
988530-Back+to+the+Twenties-beige-yes-style-coat-white-vila-clothes-dress-beige-le-chapeu-hat,190,67 favorites,"['Retro', 'Fashion Show', 'winter']",373 votes
1005779-033114-ivory-floral-sheinside-dress-light-pink-varsity-murua-jacket,7771,89 favorites,"['Retro', 'Photo Shoot', 'spring']",427 votes
1033698-SUMMER+BREEZE-sky-blue-mango-dress-white-chanel-bag,469,60 favorites,"['Casual', 'Everyday', 'spring']",349 votes
998558-021814-light-blue-just-g-dress-white-choies-heels,7771,56 favorites,"['Romantic', 'Lunch Date', 'summer']",390 votes
1046854-White+Summer+Dress-loose-sheinside-dress-leather-alisonsmsn-sandals,523,60 favorites,"['Comfortable', 'Vacation', 'summer']",364 votes
952999-little+sailor-nude-sailor-whitepepper-dress,7452,101 favorites,"['Rocker', 'Art Opening', 'fall']",448 votes
1001635-Ayutthaya+Heritage-black-vila-dress-ivory-charles-keith-bag-black-asos-sunglasses,34,51 favorites,"['Eclectic', 'Traveling', 'summer']",271 votes
1131628-All+Ruffled+Up-salmon-kate-spade-bag-navy-bcbgeneration-dress-beige-clarks-pumps,3,60 favorites,"['Classic', 'Dinner Party', 'summer']",376 votes
1032585-%D0%92%D0%B5%D1%82%D0%B5%D1%80+%D0%BA%D1%80%D0%B5%D0%BF%D1%87%D0%B0%D0%B5%D1%82-6kscom-dress,258,38 favorites,"['Bohemian', 'Everyday', 'Summer']",308 votes
1010253-Something+must+be+wrong-brown-mink-pink-dress-black-floppy-fedora-uo-hat,161,51 favorites,"['Bohemian', 'Everyday', 'spring']",358 votes
1060906-Quilted+Moto+Jacket+Peplum+Dress-little-mistress-dress-ann-taylor-shirt-chanel-bag-asos-belt,126,58 favorites,"['Basic', 'Everyday', 'fall']",317 votes
1029065-Summer+Night+Plaid-silver-oia-jules-ring-deep-purple-plaid-dress-radpopsicles-dress,5121,79 favorites,"['Chic', 'Dinner Date', 'summer', 'nice white high heel s...']",401 votes
1142243-A+day+in+the+life+SavannahGeorgia-brown-forever-21-boots-army-green-agaci-dress,2092,58 favorites,"['Casual', 'Traveling', 'fall', 'love this socute']",360 votes
947179-Little+Twist-tawny-ariat-boots-camel-ezzentric-topz-dress-light-blue-timberland-shirt,297,52 favorites,"['Comfortable', 'Dinner Party', 'fall']",279 votes
1162739-Vintage+GUESS+jeans-black-dress-light-blue-jeans-guess-jeans,29919,81 favorites,"['Casual', 'Everyday', 'summer']",368 votes
1135769-jos%C3%A9+babushkas-tawny-madewell-bag-black-forever-21-dress-red-pitaya-top,27916,59 favorites,"['Bohemian', 'Everyday', 'summer']",390 votes
1128358-July+2015+Portland+Head+Lighthouse+%7C+Coach-yellow-coach-bag-white-front-row-shop-dress-black-missguided-flats,16077,56 favorites,"['Preppy', 'Traveling', 'Summer']",402 votes
1095266-Bloom+in+Peplum-heather-gray-river-island-dress,14438,56 favorites,"['Chic', 'Everyday', 'summer']",308 votes
1047121-BACKLESS+DRESS-sheinsidecom-dress,14,75 favorites,"['Comfortable', 'Anniversary', 'Summer']",378 votes
942284-Pumpkin+Patch-vintage-dress-shoes-flats,310,93 favorites,"['Vintage', 'Everyday', 'fall']",378 votes
944702-Metamorphosis-yellow-retro-foymall-sunglasses-black-bodycon-omg-fashion-dress,262,79 favorites,"['Eclectic', 'Fashion Show', 'fall']",382 votes
941535-Dream-bruna-collection-dress,764,75 favorites,"['Elegant', 'Photo Shoot', 'fall']",256 votes
948329-BatFace-ivory-checkered-mart-of-china-boots-crimson-velvet-primark-dress,171,75 favorites,"['Rocker', 'Going Out With Friends', 'fall']",389 votes
1047411-Ladylike-beige-philippa-galasso-dress,16348,107 favorites,"['Elegant', 'Cocktail', 'Summer']",787 votes
1106214-Bare+Legs-black-vince-boots-white-zara-dress-black-bucket-madewell-bag,652,17 favorites,"['Urban', 'Lunch Date', 'spring']",151 votes
1044650-Summer+Burrito-heather-gray-h-m-cardigan-ivory-flare-need-supply-dress,569,78 favorites,"['Trendy', 'Shopping', 'summer']",356 votes
1134651-September+2015+Organza+Chicwish+Dress-white-chicwish-dress-white-abr-bag-yellow-one-little-forest-iphone-case,16077,65 favorites,"['Elegant', 'Everyday', 'Summer']",370 votes
950725-NIGHTY+NIGHT-black-patent-leather-choies-boots-black-silk-vintage-dress,362,71 favorites,"['Chic', 'Lunch Date', 'fall']",399 votes
979956-Pandora+is+my+new+boyfriend-black-leather-givenchy-bag-blue-zara-dress,130,49 favorites,"['Basic', 'Everyday', 'spring']",296 votes
1028199-Fashion+blogger-black-whitestrawberryy-dress,13,41 favorites,"['Romantic', 'Fashion Show', 'Summer']",234 votes
1161905-Summery-chicwish-dress,31856,73 favorites,"['Retro', 'Everyday', 'spring']",349 votes
1177930-Weekend+in+Banja+Luka-gray-h-m-dress-dark-gray-ofinger-store-coat-gray-h-m-scarf,32183,60 favorites,"['Casual', 'Traveling', 'fall']",338 votes
1158552-Victory+Rose-light-orange-floral-vivien-of-holloway-dress,1033,37 favorites,"['50s', 'Photo Shoot', 'spring']",208 votes
961828-alice+and+olivia-off-white-alice-and-olivia-dress,4975,80 favorites,"['Eclectic', 'Everyday', 'summer']",409 votes
1043322-Summer+calling-white-moikana-dress,18061,103 favorites,"['Chic', 'Other', 'summer', 'summer', 'formal']",798 votes
1138159-Antelope+Island+Beach-periwinkle-dynamite-dress-blue-yesstyle-bag-white-universal-sandals,16077,65 favorites,"['Casual', 'Beach', 'Summer']",345 votes
1017352-Russian+Papaha-zara-dress-asos-hat-h-m-jacket,200,58 favorites,"['Chic', 'Everyday', 'spring', 'russian papaha']",255 votes
1043309-Vintage+Floral+Dress-black-vintage-dress-black-dsw-heels,110,71 favorites,"['Vintage', 'Dinner Date', 'summer', 'vintage floral dress']",328 votes
1018836-Meet+Amy-shirt-dress-forever-21-dress-teal-sandals-urban-outfitters-sandals,197,85 favorites,"['Vintage', 'Everyday', 'spring']",321 votes
971017-Flower+Rattan+Dress-black-fedora-hat-black-boots-yellow-printed-choies-dress,137,64 favorites,"['Casual', 'Brunch', 'spring']",389 votes
1023222-dream+a+little-peach-1618-couture-bridal-dress-maroon-ipa-nima-bag,14925,86 favorites,"['Romantic', 'Photo Shoot', 'summer']",452 votes
1053009-Wild+Side-black-black-dress-dx-mall-dress-black-knee-high-socks-american-apparel-socks,27479,52 favorites,"['Bohemian', 'Everyday', 'summer']",236 votes
1026127-LES+DOCKS-red-spell-designs-cardigan-black-molly-bracken-dress-dark-brown-asos-heels,1640,64 favorites,"['Bohemian', 'Everyday', 'summer', 'bohemian', 'kimono']",370 votes
1074022-Shirtdressing-twelfth-street-dress,99,53 favorites,"['Business Casual', 'Everyday', 'fall']",287 votes
947164-Knee+High-white-ruffled-need-supply-dress-light-brown-zara-boots,569,66 favorites,"['Chic', 'Casual Party', 'fall']",265 votes
1116465-Chasing+Blue-blue-zerouv-sunglasses-black-forever-21-dress,137,66 favorites,"['Trendy', 'Brunch', 'spring']",396 votes
1151543-How+to+wear+black+and+not+look+boring-black-public-desire-boots-black-sheinside-dress-black-asos-hat,16077,72 favorites,"['Casual', 'Everyday', 'Summer']",367 votes
1126118-st+joseph+north+pier+lighthouse-white-modcloth-dress-blue-forever-21-jacket-tawny-pitaya-purse,27916,86 favorites,"['Casual', 'Everyday', 'summer']",389 votes
1042600-The+Worst-celebindress-dress,31856,75 favorites,"['Chic', 'Blind Date', 'summer']",372 votes
962646-NOE+Undergarments-light-pink-h-m-coat-black-noe-undergarments-dress-black-alexander-wang-purse,6435,55 favorites,"['Classic', 'Cocktail', 'winter']",407 votes
1166269-4th+of+July-zaful-dress-zaful-bag-cocorose-london-flats,31856,66 favorites,"['Chic', 'Everyday', 'summer']",373 votes
1017258-The+lady+in+Red-red-minueto-dress-white-sandals-asos-shoes,13169,57 favorites,"['Casual', 'Casual Party', 'spring']",563 votes
950934-lay+of+the+landscape-h-m-dress-old-navy-coat-bc-footwear-heels,284,71 favorites,"['Chic', 'Work', 'fall']",377 votes
1162858-Travel+with+DestinationOasis-nude-oasis-dress-camel-oasis-hat-eggshell-ny-company-bag,16077,44 favorites,"['Romantic', 'Everyday', 'Summer']",390 votes
1123364-Got+the+marks+to+prove+it-black-mango-dress-black-kimono-sheinside-blazer-heather-gray-new-look-bag,583,45 favorites,"['Goth', 'Dinner Party', 'summer']",337 votes
1000620-Mint-dress,1805,46 favorites,"['Elegant', 'Cocktail', 'Summer']",355 votes
1167352-Dont+quit+lovin+me-lightinthebox-dress,31856,54 favorites,"['Chic', 'Blind Date', 'summer']",336 votes
1101121-SPRING+FLING-bracelet-bracelet-dress-dress-coat-coat-bag-bag-necklace-necklace,477,60 favorites,"['Chic', 'Dinner Date', 'winter']",326 votes
1116855-In+The+Courtyard-green-maxi-dailylook-dress,82,65 favorites,"['Dynamite Style Contest', 'Everyday', 'spring']",378 votes
1168059-Ruffles+Stripes-light-blue-agaci-dress,2092,63 favorites,"['Romantic', 'Everyday', 'summer']",352 votes
1089940-Happy+NY+2015-zarina-dress-chicwish-coat,15454,64 favorites,"['Bohemian', 'Holiday Party', 'winter']",379 votes
1117973-UNCONDITIONAL-maxi-dress-boohoo-dress-quay-sunglasses,4918,30 favorites,"['Comfortable', 'BBQ Party', 'Summer']",186 votes
1050242-Im+In+ChargeOf+How+I+Feel+And+Today+I+Am+Choosing+Happines-black-dress-sandals,804,25 favorites,"['Casual', 'Everyday', 'summer']",186 votes
1036346-+Pink+and+Navy+-navy-vintage-dress,654,54 favorites,"['Classic', 'Everyday', 'summer']",378 votes
1021686-Something+blue-periwinkle-tie-dye-dress-dress,15,56 favorites,"['Chic', 'Other', 'Summer']",233 votes
1135908-Black+faun-lbd-endless-rose-dress-cowhide-vaalbara-designs-bag,170,6 favorites,"['Chic', 'Girls Night Out', 'fall']",65 votes
1115545-Plaid+Jean-blu-boutique-jacket-dr-martens-shoes-blu-boutique-dress,19484,72 favorites,"['Rocker', 'Casual Party', 'fall']",345 votes
1159185-White+and+Brown+for+April-white-romwe-dress-burnt-orange-shopbop-bag-camel-ray-ban-sunglasses,448,42 favorites,"['Romantic', 'Brunch', 'spring']",179 votes
1022167-Chambray-chambray-dress-dress,31856,58 favorites,"['Chic', 'School', 'spring', 'nice', 'tshirt dress']",384 votes
975619-Thigh+High-leather-jacket-zara-jacket-tony-bianco-boots-h-m-dress,5679,71 favorites,"['Chic', 'Everyday', 'winter']",357 votes
1013439-Delicate-blue-tfnc-london-dress-black-quilted-la-moda-uk-bag,9903,71 favorites,"['Romantic', 'Lunch Date', 'spring']",398 votes
1069277-Velvet+Cushion-velvet-vintage-dress,9333,27 favorites,"['Vintage', 'Art Opening', 'fall']",132 votes
1028198-La+Boh%C3%A8me-floral-tk-maxx-dress-pimkie-boots-black-c-a-hat-lcredi-tk-maxx-bag,581,44 favorites,"['Bohemian', 'Fashion Show', 'summer']",260 votes
999889-A+touch+of+colour-cream-displicent-dress,18061,89 favorites,"['Chic', 'Cocktail', 'fall']",372 votes
955310-Nod+to+the+Past-black-eshakti-dress-light-pink-thrifted-loafers,1817,64 favorites,"['60s', 'Everyday', 'fall']",362 votes
961603-Gridlock-black-black-knit-wax-c-c-california-sweater-teal-unknown-boots,569,77 favorites,"['Casual', 'Shopping Date', 'winter']",343 votes
1007012-All+the+Glitz+and+the+Glamour-mustard-faviana-dress-black-thrifted-heels,1817,48 favorites,"['Elegant', 'Prom', 'spring']",301 votes
965717-HOLIDAY+DRESS-black-rag-bone-boots-floral-print-yumi-kim-dress,370,58 favorites,"['Classic', 'Blind Date', 'fall']",304 votes
982075-Cherry+Pickin-tan-american-apparel-hat-turquoise-blue-modcloth-dress-red-old-navy-sweater,1817,73 favorites,"['60s', 'Everyday', 'winter']",374 votes
1046209-Hunger+on+the+Pine-flipped-up-vintage-sunglasses-studded-boots-jeffrey-campbell-shoes,116,69 favorites,"['Eclectic', 'Going Out With Friends', 'summer']",317 votes
1016212-Off+Duty-ruby-red-casual-oasap-dress-ruby-red-hearts-le-bunny-bleu-flats,1033,70 favorites,"['Casual', 'Everyday', 'spring']",298 votes
1024559-Red+Poppies-silk-boss-orange-dress-studded-zara-purse-lanvin-heels,108,80 favorites,"['Romantic', 'Dinner Party', 'spring']",381 votes
1044017-Through+the+Cabin+Door-black-polka-dot-stop-staring-dress-violet-floral-lady-rowe-hair-accessory,1033,62 favorites,"['50s', 'Vacation', 'summer', 'through the cabin door']",368 votes
980258-Frilly+Dress-black-new-look-boots-navy-persunmall-dress,116,64 favorites,"['Chic', 'Everyday', 'winter', 'over the knee boots', 'mini dress; thigh high...']",308 votes
946383-FALL+FOR+SOMETHING+GLAM-maxi-scarlet-skirt-arden-b-dress,106,60 favorites,"['Classic', 'Photo Shoot', 'fall']",338 votes
1057931-Wait+And+See-diy-t-shirt-keds-shoes-h-m-dress-femmex-cardigan,116,56 favorites,"['Hippie', 'Going Out With Friends', 'summer']",333 votes
1062366-Ancient+delicacy-light-blue-dresslily-dress-nude-milanoo-heels,369,64 favorites,"['Elegant', 'Lunch Date', 'summer']",298 votes
988303-Our+Valentines+Day-handmade-dress,428,63 favorites,"['Romantic', ""Valentine's Day"", 'winter']",338 votes
1021247-Blue+Hawaii-blue-maxi-one-by-pink-stitch-dress-aviator-ray-ban-sunglasses,341,52 favorites,"['Comfortable', 'Beach', 'summer']",251 votes
1129425-Crew+Love-cndirect-dress,31856,86 favorites,"['Chic', 'Company Event', 'summer']",360 votes
1026994-Polka+Dots-possimus-dress,284,82 favorites,"['Outdoor', 'Lunch Date', 'summer']",389 votes
1064037-The+Purple+Lip-amethyst-candies-gift-bag-light-blue-kenzo-dress-sky-blue-timberland-shirt,297,91 favorites,"['Chic', 'Brunch', 'fall']",368 votes
1028964-Golden+Details-brick-red-h-m-dress-eggshell-zara-sandals-beige-new-look-necklace,30,68 favorites,"['Romantic', 'Lunch Date', 'summer', 'todo']",360 votes
1166859-Terra+Di+Siena-miamasvin-dress-miamasvin-sandals,510,57 favorites,"['Bohemian', 'Beach', 'summer']",321 votes
946899-Never+be+Early+and+Never+by+Late-charlotte-russe-ring-clover-canyon-dress-fendi-bag,4,56 favorites,"['Trendy', 'Cocktail', 'spring']",320 votes
966089-I+believe+in+pink-h-m-bag-vagabond-shoes-vintage-dress-marks-spencers-coat-h-m-hat,398,87 favorites,"['Eclectic', 'Museum Outing', 'winter']",381 votes
1064702-Soft+Rose+World-primark-dress-h-m-tights-zara-heels,33,59 favorites,"['Chic', 'Shopping', 'Summer']",393 votes
1162215-Metallics-ami-clubwear-dress,31856,59 favorites,"['Chic', 'Cocktail', 'spring']",377 votes
956994-Knitted+Cut+out+Dress-black-knitted-banggood-dress-black-lace-up-chicwish-boots-silver-dkny-bag,326,97 favorites,"['Chic', 'Brunch', 'winter']",352 votes
1157500-Easter+Inspiration-club-monaco-dress,29,46 favorites,"['Elegant', 'Work', 'Summer']",262 votes
1027928-Tartan+Dress-cotton-primark-dress-leather-next-flats,62,48 favorites,"['Vintage', 'Everyday', 'spring']",279 votes
1106615-Maison+Scotch+Soda-nude-maison-scotch-dress-tawny-zara-boots-blue-salsa-jeans,1640,72 favorites,"['70s', 'Everyday', 'winter']",387 votes
1070536-Button+Down+Dresses+%7C+Versatile-heather-gray-plaid-mango-dress,20663,71 favorites,"['Urban', 'Casual Party', 'fall']",363 votes
1033712-Chartreuse-chartreuse-oasap-dress-hot-pink-kate-spade-bag-black-chanel-sunglasses,341,70 favorites,"['Classic', 'Dinner Date', 'spring']",321 votes
988349-Wear+Pink+and+stripes+for+Valentines-light-pink-topshop-dress-beige-casadei-heels,62,49 favorites,"['50s', 'Anniversary', 'spring']",363 votes
1064752-Amuse+Muse-dress-pepaloves-dress,791,70 favorites,"['60s', 'Amusement Park', 'Summer']",374 votes
1033718-DAISY+NAVY-yellow-daisy-handmade-ring-orange-daisy-print-chicwish-dress,299,47 favorites,"['Romantic', 'Romantic Dinner', 'summer']",329 votes
1051845-Wearing+Dresses+Over+Jeans-luluscom-bag-nico-la-dress-coated-jeans-asos-jeans-theyskens-theory-heels,5679,67 favorites,"['Chic', 'Everyday', 'summer']",386 votes
1157252-A+Dainty+Touch-black-stuart-weitzman-shoes-red-ted-baker-dress,1340,35 favorites,"['Classic', 'Everyday', 'Summer']",383 votes
1033355-Busting+Out+my+Favorite+Vintage+Dress-black-betsey-johnson-pumps-pumps-green-vintage-dress-laiglon-1950s-dress-dress,5,75 favorites,"['50s', 'First Date', 'fall']",363 votes
1150815-My+classic+Nina+shoes+pumps-black-nordstrom-sweater-burnt-orange-forever-21-dress-black-nina-shoes-heels,16077,51 favorites,"['Business', 'Everyday', 'Summer']",352 votes
968676-I+fell+in+love+on+a+thirsty+Thursday+evening-mustard-zara-hat-sky-blue-chillin-dress,518,76 favorites,"['Romantic', 'Everyday', 'winter']",352 votes
957319-In+The+City+San+Francisco-free-people-dress-vintage-hat,310,59 favorites,"['Urban', 'Everyday', 'fall']",277 votes
983385-Swing+Swing+Swing-black-topshop-boots-black-oh-my-love-dress-black-h-m-hat,104,4 favorites,"['Bohemian', 'Art Opening', 'winter']",79 votes
1060589-New+York+Fashion+Week-ruffles-dress,28,51 favorites,"['Chic', 'Fashion Show', 'summer']",273 votes
983467-Jailbreak-white-tb-dress-dress-yellow-sheinside-blazer-black-bazaar-flats,616,44 favorites,"['Chic', 'Lunch Date', 'spring']",174 votes
1077151-The+Knitted+Dress-silver-knitted-h-m-trend-dress,177,81 favorites,"['Chic', 'Everyday', 'fall']",372 votes
1065779-l+o+s+t+f+o+u+n+d-amethyst-ivanova-bag-silver-zara-dress-heather-gray-ray-ban-sunglasses,410,50 favorites,"['Elegant', 'Other', 'fall']",258 votes
1046712-FASHION+HAPPY+HOUR+THE+LOOK-h-m-dress-zara-bag-topshop-heels,171,26 favorites,"['Chic', 'Fashion Show', 'Summer']",120 votes
1035435-breakfast+at+tiffanys-stylenanda-dress,398,74 favorites,"['Chic', 'Bachelorette Party', 'summer']",348 votes
996404-D+G+Spring+Summer+2014-white-oasap-dress-white-oasap-earrings-camel-sam-edelman-flats,21610,83 favorites,"['Elegant', 'Fashion Show', 'spring']",453 votes
1024450-Be+Intentional-hot-miami-styles-dress-chanel-bag-charlotte-russe-heels,752,75 favorites,"['Classic', 'Everyday', 'spring']",350 votes
1025010-Desert+Dusk-cream-ruche-dress-burnt-orange-kate-spade-bracelet-gold-kate-spade-bracelet,295,53 favorites,"['Classic', 'Dinner Date', 'spring']",324 votes
1039289-light+orange+Forever+21+dress-light-orange-forever-21-dress-sky-blue-forever-21-jacket-orange-h-m-scarf,17,42 favorites,"['Casual', 'Other', 'Summer']",264 votes
997093-jade-teal-romwe-dress-lime-green-romwe-earrings-black-chanel-heels,14925,66 favorites,"['Romantic', 'Everyday', 'spring']",384 votes
950382-The+Coveteur-ivory-topshop-dress-bronze-jacquie-aiche-ring,148,112 favorites,"['Romantic', 'Wedding', 'fall']",429 votes
961917-BHLDN+Haute+Holiday-white-lace-bhldn-dress-black-velvet-j-crew-jacket,33811,73 favorites,"['Classic', 'Hiking', 'winter']",366 votes
973999-Gold+Sparkle+Sequins+LBD-black-krossy-dress-black-krossy-hat,34,68 favorites,"['Casual', 'Everyday', 'winter']",294 votes
974795-Indiana+PINK-dark-khaki-trench-coat-forever-21-coat-bubble-gum-bodycon-asos-dress,569,78 favorites,"['Chic', 'Art Opening', 'winter']",366 votes
999637-subtle+cheetah-navy-choies-dress-light-pink-romwe-shirt-crimson-dolce-gabbana-heels,14925,70 favorites,"['Preppy', 'Everyday', 'winter']",432 votes
1122307-Vintage+gingham-blue-chicwish-dress,21610,60 favorites,"['50s', 'Dinner Date', 'summer']",345 votes
1058968-BLACK+WHITE-white-nike-sneakers-bodycon-primark-dress-aztec-clutch-peacocks-bag,257,37 favorites,"['Sneaker', 'Everyday', 'summer']",298 votes
1108815-Nasty+Gal+Do+It+Better-nasty-gal-dress-nasty-gal-jacket-asos-bag-topshop-socks,38,2 favorites,"['90s', 'Blind Date', 'spring']",72 votes
1129216-Calista+Raines-new-dress-dress-wolford-dress,31856,45 favorites,"['Comfortable', 'Everyday', 'summer']",323 votes
1157424-Spring+Capsule+Wardrobe+Day+4-floral-print-thredup-dress-nude-modcloth-pumps,112,48 favorites,"['Romantic', 'Dinner Date', 'spring']",390 votes
1001748-BUSINESS+OF+LOVE-black-babydoll-zara-dress,7450,46 favorites,"['Romantic', 'Cocktail', 'spring']",350 votes
962715-Red+as+Rudolph-red-aeropostale-coat-black-thrifted-boots-black-forever21-dress,1817,59 favorites,"['Classic', 'Everyday', 'winter']",342 votes
963938-Winter+Layers-maroon-calvin-klein-sweater-black-leather-zigi-soho-boots,490,16 favorites,"['Hippie', 'Everyday', 'winter', 'i']",94 votes
1150158-Get+There+Via+Spiga-ribbed-knit-mink-pink-dress-black-cutout-via-spiga-boots,459,42 favorites,"['Chic', 'Casual Party', 'fall']",334 votes
1073003-Spit+Fire-red-choies-dress-black-opaque-american-apparel-socks,27479,94 favorites,"['Bohemian', 'Fashion Show', 'fall']",404 votes
955032-Chic+Stuff-white-cosmina-pasarin-t-shirt-collection-2013-dress-light-brown-new-look-boots,35,35 favorites,"['Chic', 'Going Out With Friends', 'summer']",311 votes
1116248-First+beach+day+of+2015-ivory-white-crossroads-dress-navy-suede-boden-flats,520,78 favorites,"['Vintage', 'Beach', 'summer']",377 votes
1113580-polka+dotty-black-walktrendy-dress-ruby-red-jeffrey-campbell-boots,19208,67 favorites,"['90s', 'Brunch', 'spring']",367 votes
1007916-Red+and+nude-red-zara-sweater-black-zara-dress,187,92 favorites,"['Casual', 'Blind Date', 'spring']",377 votes
977325-Channeling+the+Waldorfs-navy-varsity-h-m-jacket-silver-zara-shoes-white-grid-print-forever-21-dress,331,64 favorites,"['Classic', 'Dinner Date', 'spring', 'blockcheck']",264 votes
944340-Look+du+jour+a+shade+of+blue-blue-chamelle-dress,18061,113 favorites,"['Chic', 'Everyday', 'summer']",441 votes
1029835-Take+Me+to+the+Races-earrings-and-stuff-bracelet-sparrow-dress-rebecca-minkoff-bag,49,28 favorites,"['Romantic', 'Bridal Shower', 'spring']",159 votes
1167707-Exploring+In+White-white-sheinside-dress,1340,37 favorites,"['Classic', 'Everyday', 'Summer']",309 votes
1199057-Kate+Moss+Zoo-ruby-red-by-kate-moss-topshop-dress,29687,19 favorites,"['Comfortable', 'Other', 'Summer']",153 votes
1172794-YELLOW+BOW-sheinside-dress-mustang-flats,1465,57 favorites,"['Eclectic', 'Everyday', 'summer']",323 votes
1145984-ESCADA+EVENING-escada-dress,304,66 favorites,"['Elegant', 'Wedding', 'fall']",323 votes
1091564-London+Girl-zara-boots-bdg-dress-jcrew-hat-yves-saint-laurent-bag,280,24 favorites,"['Chic', 'Work', 'winter']",165 votes
979964-Confessions+Of+Psycho+Cat-cat-foymall-tights-eyeboxs-dress-fluffy-jollychic-coat,225,54 favorites,"['Eclectic', 'Photo Shoot', 'winter']",325 votes
1041605-Boyfriend+Jeans-asos-boots-asos-dress-asos-jeans-asos-sweater-topshop-bag,268,26 favorites,"['Casual', 'BBQ Party', 'Summer', 'crocheted', 'white']",198 votes
1159875-Vintage+Dress-navy-sheinside-dress,890,53 favorites,"['Bohemian', 'Casual Party', 'spring']",305 votes
1051181-Reversed-black-tights-crimson-platforms-lasenora-shoes-red-thefashionshopp-dress,137,82 favorites,"['Romantic', 'Dinner Date', 'fall']",444 votes
1175693-Velvet+Layers-black-velvet-agaci-dress-black-ankle-agaci-boots-black-agaci-cardigan,2092,3 favorites,"['Casual', 'Everyday', 'fall', 'autumn']",93 votes
943075-gold+field+white+dress-dark-brown-decree-boots-ivory-aeropostale-dress,77,59 favorites,"['Casual', 'Everyday', 'fall']",300 votes
1031101-Sunset+in+the+beach-lefties-dress,138,61 favorites,"['Cotton Look', 'Casual Party', 'spring']",301 votes
1195626-LAST+FIRST+KISS-premiata-shoes-copcopine-dress,15454,52 favorites,"['70s', 'Dinner Date', 'summer']",278 votes
1015278-Dainty+Rascal-white-patterned-dainty-rascal-dress-light-brown-scallop-poetic-license-heels,1033,98 favorites,"['Retro', 'Picnic', 'spring']",386 votes
